Theta1_Value,Cost Function
547.5837885944017,64297702674.44179
1083.2805862090229,63030946041.44867
1607.7742972692931,61790623275.8964
2121.2522113104933,60576167231.76145
2623.898641098209,59387023349.8002
3115.8949693074815,58222649366.56627
3597.4196944727164,57082515030.47464
4068.6484762197197,55966101824.73317
4529.754179791077,54872902696.96713
4980.906919875897,53802421795.36733
5422.274103754772,52754174211.19614
5854.0204737706545,51727685727.49119
6276.308149136158,50722492573.809494
6689.296667087646,49738141186.86026
7093.143023396295,48774187976.877335
7488.00171224618,47830199099.58744
7874.024765489251,46905750233.63304
8251.361791286921,46000426363.31313
8620.160012147859,45113821566.508545
8980.564302371387,44245538807.661964
9332.717224905777,43395189735.6862
9676.759067630559,42562394486.67745
10012.827879071867,41746781491.314
10341.059503559616,40947987286.823204
10661.587615835277,40165656333.403435
10974.54375511879,39399440834.989845
11280.05735864307,38649000564.25654
11578.255794664408,37914002691.74975
11869.264394956968,37194121619.04994
12153.20648679939,36489038815.863045
12430.203424461477,35798442660.94388
12700.374620198729,35122028286.75714
12963.83757476243,34459497427.78388
13220.707907432838,33810558272.383743
13471.099385582913,33174925318.125645
13715.123953779943,32552319230.501537
13952.891762432238,31942466704.94057
14184.511195988029,31345100332.04271
14410.088900693536,30759958465.952938
14629.729811917105,30186785095.799618
14843.537181046177,29625329720.122025
15051.612601963752,29075347224.214207
15254.05603711093,28536597760.31447
15450.965843141961,28008846630.57095
15642.438796178205,27491864172.716133
15828.57011666722,26985425648.38456
16009.453493853174,26489311134.00974
16185.181109864627,26003305414.23784
16355.843663425674,25527197877.797344
16521.53039319631,25060782415.765553
16682.329100747826,24603857322.17401
16838.3261731789,24156225196.896614
16989.60660537804,23717692850.765644
17136.254021937857,23288071212.862
17278.350698726616,22867175239.927788
17415.97758412243,22454823827.85015
17549.21431991534,22050839725.16699
17678.139261882487,21655049448.546192
17802.82950004146,21267283200.19127
17923.360878586864,20887374787.127514
18039.80801551504,20515161542.32387
18152.244321941787,20150484247.60696
18260.742021117952,19793187058.32455
18365.372167147492,19443117429.717148
18466.204663412755,19100126044.95706
18563.308280711495,18764066744.815693
18656.750675110143,18434796458.920334
