Theta0_Value,Cost Function
3404.645798308956,64297702674.44179
6774.725936070547,63030946041.44867
10111.105272454522,61790623275.8964
13414.120815474658,60576167231.76145
16684.10620306459,59387023349.8002
19921.391736778627,58222649366.56627
23126.304415155522,57082515030.47464
26299.167966748646,55966101824.73317
29440.30288282584,54872902696.96713
32550.02644974226,53802421795.36733
35628.65278098952,52754174211.19614
38676.4928489243,51727685727.49119
41693.85451617974,50722492573.809494
44681.04256676262,49738141186.86026
47638.35873683967,48774187976.877335
50566.10174521595,47830199099.58744
53464.56732350847,46905750233.63304
56334.048246018065,46000426363.31313
59174.834359302564,45113821566.508545
61987.21261145422,44245538807.661964
64771.46708108436,43395189735.6862
67527.8790060182,42562394486.67745
70256.7268117027,41746781491.314
72958.28613933035,40947987286.823204
75632.82987368172,40165656333.403435
78280.62817068958,39399440834.989845
80901.94848472737,38649000564.25654
83497.05559562478,37914002691.74975
86066.21163541322,37194121619.04994
88609.67611480376,36489038815.863045
91127.7059494004,35798442660.94388
93620.55548565109,35122028286.75714
96088.47652653925,34459497427.78388
98531.71835701854,33810558272.383743
100950.52776919304,33174925318.125645
103345.1490872458,32552319230.501537
105715.82419211802,31942466704.94057
108062.79254594151,31345100332.04271
110386.29121622677,30759958465.952938
112686.55489980918,30186785095.799618
114963.81594655577,29625329720.122025
117218.30438283489,29075347224.214207
119450.24793475123,28536597760.31447
121659.8720511484,28008846630.57095
123847.3999263816,27491864172.716133
126013.05252286246,26985425648.38456
128157.04859337852,26489311134.00974
130279.60470318943,26003305414.23784
132380.9352519022,25527197877.797344
134461.25249512788,25060782415.765553
136520.76656592128,24603857322.17401
138559.68549600674,24156225196.896614
140578.21523679135,23717692850.765644
142576.5596801681,23288071212.862
144554.92067911112,22867175239.927788
146513.49806806468,22454823827.85015
148452.48968312872,22050839725.16699
150372.09138204213,21655049448.546192
152272.49706396638,21267283200.19127
154153.8986890714,20887374787.127514
156016.48629792535,20515161542.32387
157860.44803069078,20150484247.60696
159685.97014612856,19793187058.32455
161493.23704041194,19443117429.717148
163282.4312657525,19100126044.95706
165053.73354883966,18764066744.815693
166807.32280909596,18434796458.920334
168543.37617674968,18112175138.56314
170262.06901072687,17796065691.025585
171963.57491636428,17486333915.382706
173648.0657629453,17182848439.75239
175315.71170106053,16885480659.955702
176966.6811797946,16594104679.555073
178601.14096374135,16308597251.23824
180219.2561498486,16028837719.51625
181821.1901840948,15754707964.704834
183407.10487799853,15486092348.159254
184977.16042496322,15222877658.733286
186531.51541645828,14964953060.433859
