Theta1_Value,Cost Function
1057.6413349281559,64297776251.62011
2101.6427419099055,63031018305.52132
3132.204419118224,61790694237.53249
4149.523497057381,60576236901.991035
5153.794086173976,59387091739.9886
6145.20732372633,58222716488.38939
7123.9514199238,57082580895.8954
8090.21170334739,55966166445.97885
9044.17066566288,54872966086.50778
9986.008005637497,53802483965.89506
10915.90067247099,52754235175.605446
11834.02290845179,51727745498.85994
12740.546290948798,50722551165.380974
13635.63977374914,49738198612.02588
14519.469727752114,48774244249.16026
15392.199981029318,47830254232.6268
16253.991858260913,46905804241.16897
17105.004219557683,46000479259.1725
17945.393498678503,45113873364.59137
18775.31374065264,44245589521.92844
19594.916638816154,43395239380.144295
20404.351571271545,42562443075.371216
21203.765636779637,41746829038.312386
21993.303690092554,40948033806.20948
22773.10837673649,40165701839.264984
23543.320167252867,39399485341.40871
24304.077390906317,38649044085.30025
25055.516268867803,37914045241.46274
25797.770946881068,37194163211.44539
26530.97352742045,36489079464.91514
27255.254101348026,35798482380.58049
27970.740779077845,35122067090.852936
28677.55972125498,34459535330.1538
29375.835168956935,33810595286.77683
30065.689473424874,33174961458.219242
30747.243125331977,32552354509.895863
31420.614783596164,31942501137.15358
32085.921303744275,31345133930.505226
32743.277765834708,30759991244.004223
33392.797501945395,30186817066.68309
34034.5921232339,29625360896.981297
34668.7715465763,29075377620.08948
35295.44402079139,28536627388.13903
35914.71615245674,28008875503.167988
36526.69293132296,27491892302.795826
37131.47775533232,26985453048.541317
37729.17245524806,26489337816.71971
38319.87731890035,26003331391.85654
38903.69111505492,25527223162.557613
39480.71111691023,25060807019.775593
40051.03312522893,24603881257.415604
40614.75149110944,24156248475.223606
41171.95913840307,23717715483.902462
41722.74758578239,23288093212.402443
42267.20696846613,22867196617.33389
42805.42605960614,22454844594.451202
43337.49229134146,22050859892.158714
43863.49177552489,21655069026.990036
44383.50932412703,21267302201.013813
44897.62846932292,20887393221.120007
45405.93148326611,20515179420.141884
45908.499397555184,20150501579.77011
46405.41202239733,19793203855.216385
46896.74796547392,19443133701.585064
47382.58465051254,19100141801.912357
47862.99833557012,18764081996.83369
48338.06413103175,18434811215.840572
48807.85601732944,18112189410.089684
49272.446862385346,17796079486.727345
49731.908438783685,17486347244.693886
50186.311440675556,17182861311.97299
50635.725500420886,16885493084.25202
51080.21920497152,16594116664.9604
51519.8601119996,16308608806.653463
51954.71476577506,16028848853.710592
52384.848712796294,15754718686.316612
52810.326517177724,15486102665.696712
53231.21177579814,15222887580.575447
53647.56713321349,14964962594.831398
54059.4542963378,14712219196.319693
54466.934048895884,14464551146.83511
54870.06626565134,14221854433.189373
55268.90992641331,13984027219.376745
55663.52312982561,13750969799.802748
56053.9631069414,13522584553.551306
56440.286234586914,13298775899.666431
56822.548048517434,13079450253.424904
57200.80325636882,12864515983.577179
57575.10575040768,12653883370.534122
57945.50862008348,12447464565.477879
58312.06416438546,12245173550.375591
58674.823904007644,12046926098.875238
59033.838593324705,11852639738.063326
59389.15823218179,11662233711.064756
59740.83207750117,11475628940.46551
60088.90865470848,11292747992.539377
60433.43576898154,11113515042.260372
60774.46051632427,10937855839.082853
61112.02929446871,10765697673.471926
61446.18781360758,10596969344.166979
61776.98110696018,10431601126.161713
62104.453541174094,10269524739.384384
62428.64882656545,10110673318.062334
62749.6100272,9954981380.755344
63067.37957081772,9802384801.042637
63381.999258603246,9652820778.848696
63693.51027480457,9506227812.39355
64001.95319620241,9362545670.753366
64307.36800143251,9221715367.017591
64609.79408016317,9083679132.02917
64909.27024213038,8948380388.69481
65205.83472603253,8815763726.85238
65499.525208287196,8685774878.682932
65790.37881165187,8558360694.655187
66078.43211371092,8433469119.990482
66363.72115523081,8311049171.636581
66646.28144838566,8191050915.738864
66926.1479848551,8073425445.597914
67203.35524379644,7958124860.102504
67477.93719969326,7845102242.627465
67749.92733008199,7734311640.386052
68019.35862315881,7625708044.226661
68286.26358526839,7519247368.864021
68550.67424827648,7414886433.535259
68812.62217682817,7312582943.071294
69072.1384754935,7212295469.374458
69329.25379580224,7113983433.293283
69583.9983431696,7017607086.885625
69836.40188371441,6923127496.0616455
70086.49375097171,6830506523.598121
70334.30285250118,6739706812.51599
70579.85767639297,6650691769.813034
70823.18629767295,6563425550.543961
71064.31638460828,6477873042.240133
71303.27520491555,6393999849.661557
71540.0896318725,6311772279.873765
71774.786150335,6231157327.642513
72007.39086266085,6152122661.139249
72237.9294945417,6074636607.950604
72466.42740074468,5998668141.385204
72692.90957076485,5924186867.071306
72917.40063439032,5851163009.8389
73139.92486718096,5779567400.880067
73360.50619586231,5709371465.181491
73579.16820363587,5640547209.223231
73795.93413540721,5573067208.937901
74010.82690293301,5506904597.924616
74223.86908988844,5442033055.912168
74435.08295685604,5378426797.46598
74644.49044623737,5316060560.933568
74852.1131870885,5254909597.623319
75057.97249988084,5194949661.2115345
75262.08940118802,5136156997.3727865
75464.48460830038,5078508333.628749
75665.17854376801,5021980869.4107685
75864.19133987337,4966552266.331585
76061.54284303484,4912200638.661632
76257.252618142,4858904544.005542
76451.33995282387,4806642974.174524
76643.82386165115,4755395346.250382
76834.72309027342,4705141493.837055
77024.05611949225,4655861658.49564
77211.8411692715,4607536481.3589525
77398.09620268542,4560146994.921772
77582.83892980576,4513674615.002973
77766.08681152877,4468101132.875878
77947.85706334306,4423408707.563237
78128.16665903913,4379579858.293242
78307.0323343616,4336597457.113228
78484.47059060504,4294444721.6575575
78660.49769815408,4253105208.066543
78835.12969996898,4212562804.0530233
79008.38241501721,4172801722.1135597
79180.27144165208,4133806492.881114
79350.81216093912,4095561958.6161757
79520.01973993117,4058053266.8334436
79687.90913489275,4021265864.061104
79854.49509447474,3985185489.7299514
80019.79216284,3949798170.189521
80183.81468274076,3915090212.848611
80346.57679854837,3881048200.437472
80508.09245923648,3847658985.3891416
80668.37542131802,3814909684.3373685
80827.43925173693,3782787672.72865
80985.29733071521,3751280579.545979
81141.96285455614,3720376282.1419325
81297.44883840409,3690062901.1787825
81451.76811896193,3660328795.6733556
81604.93335716645,3631162558.1444583
81756.95704082245,3602553009.8606653
81907.8514871964,3574489196.186376
82057.6288455699,3546960382.0240526
82206.30109975392,3519956047.350616
82353.88007056425,3493465882.846028
82500.37741825875,3467479785.6120834
82645.80464493713,3441987854.979558
82790.17309690369,3416980388.40181
82933.49396699364,3392447877.4330564
83075.77829686373,3368381003.789511
83217.03697924741,3344770635.4916563
83357.28076017539,3321607823.085977
83496.52024116198,3298883795.944415
83634.76588135779,3276589958.639999
83772.0279996692,3254717887.3969855
83908.3167768454,3233259326.613998
84043.64225753312,3212206185.4586062
84178.01435229988,3191550534.531865
84311.44283962605,3171284602.601332
84443.93736786631,3151400773.4011784
84575.50745718092,3131891582.497912
84706.16250143733,3112749714.2204375
84835.9117700825,3093967998.653024
84964.76440998653,3075539408.6899304
85092.72944725788,3057457057.1503615
85219.8157890307,3039714193.952536
85346.03222522482,3022304203.3455877
85471.3874302785,3005220601.198149
85595.88996485478,2988457032.342386
85719.5482775215,2972007267.9723783
85842.3707064056,2955865203.095664
85964.36548082194,2940024854.0369077
86085.54072287722,2924480355.9925337
86205.90444904927,2909225960.6353436
86325.46457174205,2894256033.7680163
86444.22890081689,2879565053.0245194
86562.20514510018,2865147605.618414
86679.40091386798,2850998386.1370893
86795.82371830787,2837112194.3809876
86911.4809729584,2823483933.246866
87026.3799971264,2810108606.6541967
87140.52801628277,2796981317.51381
87253.9321634367,2784097265.737912
87366.59948048892,2771451746.29061
87478.5369195643,2759040147.2781234
87589.75134432389,2746857948.0778456
87700.24953125704,2734900717.505465
87810.03817095367,2723164112.0193577
87919.1238693571,2711643873.9614835
88027.51314899772,2700335829.834021
88135.21245020776,2689235888.6110344
88242.22813231758,2678340040.0844073
88348.56647483355,2667644353.2433805
88454.23367859807,2657144974.686974
88559.23586693176,2646838127.0686264
88663.57908675824,2636720107.572394
88767.26930971179,2626787286.420038
88870.312433228,2617036105.408408
88972.71428161785,2607463076.476443
89074.4806071254,2598064780.3012342
89175.61709096929,2588837864.92252
89276.12934436844,2579779044.3950343
89376.022909552,2570885097.46816
89475.30326075404,2562152866.292284
89573.97580519295,2553579255.1513553
89672.04588403605,2545161229.2210693
89769.51877334937,2536895813.352177
89866.39968503307,2528780090.8783937
89962.69376774263,2520811202.448406
90058.40610779589,2512986344.881492
90153.54173006646,2505302770.0462494
90248.1055988634,2497757783.761987
90342.10261879767,2490348744.7222986
90435.5376356352,2483073063.4403653
90528.41543713726,2475928201.215546
90620.74075388779,2468911669.1208334
90712.51826010838,2462021027.010729
90803.7525744608,2455253882.549119
90894.44826083726,2448607890.2567806
90984.60982913886,2442080750.578062
91074.24173604205,2435670208.966388
91163.34838575359,2429374054.988192
91251.934130754,2423190121.444897
91340.00327252978,2417116283.512579
91427.5600622945,2411150457.898961
91514.60870169904,2405290602.017368
91601.15334353092,2399534713.177319
91687.19809240328,2393880827.7913885
91772.74700543321,2388327020.598047
91857.80409290994,2382871403.9001064
91942.37331895293,2377512126.8185043
92026.45860215997,2372247374.5610657
92110.06381624546,2367075367.7059803
92193.19279066916,2361994361.499665
92275.84931125531,2357002645.168742
92358.03712080255,2352098541.2458296
92439.75991968447,2347280404.9088726
92521.02136644124,2342546623.3337383
92601.82507836231,2337895615.0598025
92682.1746320602,2333325829.368278
92762.07356403579,2328835745.673001
92841.52537123504,2324423872.9234447
92920.53351159731,2320088749.0197077
92999.10140459548,2315828940.239229
93077.23243176787,2311643040.674992
93154.92993724224,2307529671.6849914
93232.19722825187,2303487481.3527308
93309.0375756439,2299515143.9585276
93385.45421438002,2295611359.4614096
93461.45034402968,2291774852.991374
93537.02912925584,2288004374.351835
93612.19370029349,2284298697.532003
93686.94715342097,2280656620.229044
93761.29255142428,2277076963.379789
93835.23292405429,2273558570.7018085
93908.77126847727,2270100308.2436733
93981.91054971861,2266701063.9442024
94054.65370109987,2263359747.2005234
94127.00362466936,2260075288.4447656
94198.96319162622,2256846638.7292147
94270.53524273817,2253672769.3197455
94341.72258875317,2250552671.297394
94412.52801080466,2247485355.167867
94482.954260811,2244469850.4788623
94553.00406186888,2241505205.4450164
94622.68010864078,2238590486.5803514
94691.98506773678,2235724778.3380404
94760.92157809064,2232907182.7573752
94829.49225133023,2230136819.1177626
94897.69967214258,2227412823.5996304
94965.54639863335,2224734348.952087
95033.0349626811,2222100564.1672125
95100.16787028615,2219510654.1608334
95166.94760191446,2216963819.4596634
95233.3766128362,2214459275.8946834
95299.45733345945,2211996254.3006086
95365.19216965885,2209574000.221364
95430.58350309952,2207191773.6214075
95495.63369155602,2204848848.602811
95560.34506922674,2202544513.1279545
95624.7199470435,2200278068.7477627
95688.76061297677,2198048830.3353286
95752.46933233613,2195856125.8248405
95815.84834806653,2193699295.9557047
95878.89988104005,2191577694.0217505
95941.6261303434,2189490685.6254287
96004.02927356117,2187437648.436878
96066.11146705494,2185417971.9578023
96127.87484623822,2183431057.2900147
96189.32152584742,2181476316.9086003
96250.45360020883,2179553174.439567
96311.27314350162,2177661064.4419203
96371.78221001703,2175799432.1940594
96431.98283441378,2173967733.4844136
96491.87703196966,2172165434.4062343
96551.46679882953,2170392011.1564555
96610.75411224957,2168646949.8385487
96669.74093083813,2166929746.2692766
96728.42919479287,2165239905.7892857
96786.82082613457,2163576943.0774593
96844.91772893751,2161940381.9689326
96902.72178955641,2160329755.2767296
96960.23487685014,2158744604.616923
