Theta1_Value,Cost Function
547.0882175586958,64297776251.62011
1082.783108326687,63031018305.52132
1607.2749846950758,61790694237.53249
2120.751134886941,60576236901.991035
2623.3958703769576,59387091739.9886
3115.3905725702116,58222716488.38939
3596.9137387517767,57082580895.8954
4068.1410273184288,55966166445.97885
4529.2453023037015,54872966086.50778
4980.3966772073145,53802483965.89506
5421.762558139826,52754235175.605446
5853.507686293204,51727745498.85994
6275.794179747822,50722551165.380974
6688.781574626259,49738198612.02588
7092.626865604065,48774244249.16026
7487.484545787563,47830254232.6268
7873.5066459685395,46905804241.16897
8250.842773265564,46000479259.1725
8619.640149161494,45113873364.59137
8980.043646946619,44245589521.92844
9332.195828576676,43395239380.144295
9676.236980954916,42562443075.371216
10012.305151647171,41746829038.312386
10340.536184038796,40948033806.20948
10661.063751942183,40165701839.264984
10974.019393663444,39399485341.40871
11279.532545536656,38649044085.30025
11577.730574934048,37914045241.46274
11868.738812760239,37194163211.44539
12152.68058543863,36489079464.91514
12429.677246397858,35798482380.58049
12699.84820706611,35122067090.852936
12963.310967380989,34459535330.1538
13220.181145822478,33810595286.77683
13470.57250897648,33174961458.219242
13714.59700063621,32552354509.895863
13952.364770448696,31942501137.15358
14183.984202113472,31345133930.505226
14409.56194114045,30759991244.004223
14629.202922173856,30186817066.68309
14843.010395889009,29625360896.981297
15051.08595546859,29075377620.08948
15253.529562665,28536627388.13903
15450.43957345523,28008875503.167988
15641.91276329463,27491892302.795826
15828.044351975821,26985453048.541317
16008.928028098935,26489337816.71971
16184.655973159226,26003331391.85654
16355.318885258033,25527223162.557613
16521.006002442988,25060807019.775593
16681.805125683233,24603881257.415604
16837.80264148537,24156248475.223606
16989.08354415573,23717715483.902462
17135.731457714475,23288093212.402443
17277.82865746703,22867196617.33389
17415.45609123809,22454844594.451202
17548.693400273572,22050859892.158714
17677.618939815628,21655069026.990036
17802.309799355848,21267302201.013813
17922.841822571692,20887393221.120007
18039.28962695106,20515179420.141884
18151.72662310989,20150501579.77011
18260.22503380759,19793203855.216385
18364.855912664985,19443133701.585064
18465.689162589453,19100141801.912357
18562.79355391182,18764081996.83369
18656.23674223949,18434811215.840572
18746.08528603027,18112189410.089684
18832.404663891237,17796079486.727345
18915.259291606926,17486347244.693886
18994.712538901094,17182861311.97299
19070.8267459362,16885493084.25202
19143.663239554695,16594116664.9604
19213.282349266177,16308608806.653463
19279.743422984335,16028848853.710592
19343.10484251763,15754718686.316612
19403.424038817553,15486102665.696712
19460.757506988204,15222887580.575447
19515.16082106098,14964962594.831398
19566.688648538002,14712219196.319693
19615.39476470788,14464551146.83511
19661.332066737414,14221854433.189373
19704.552587542705,13984027219.376745
19745.107509443096,13750969799.802748
19783.047177601387,13522584553.551306
19818.421113253622,13298775899.666431
19851.27802673175,13079450253.424904
19881.665830282378,12864515983.577179
19909.631650684834,12653883370.534122
19935.221841671628,12447464565.477879
19958.481996154445,12245173550.375591
19979.45695825866,12046926098.875238
19998.190835169407,11852639738.063326
20014.727008792117,11662233711.064756
20029.10814723043,11475628940.46551
20041.376216084336,11292747992.539377
20051.57248957136,11113515042.260372
20059.737561473536,10937855839.082853
20065.911355912893,10765697673.471926
20070.133137958164,10596969344.166979
20072.441524065307,10431601126.161713
20072.874492354455,10269524739.384384
20071.469392725867,10110673318.062334
20068.26295681736,9954981380.755344
20063.29130780574,9802384801.042637
20056.5899700546,9652820778.848696
20048.193878610986,9506227812.39355
20038.13738855318,9362545670.753366
20026.454284192023,9221715367.017591
20013.177788127996,9083679132.02917
19998.340570166354,8948380388.69481
19981.974756092503,8815763726.85238
19964.111936309826,8685774878.682932
19944.783174342087,8558360694.655187
19924.01901520255,8433469119.990482
19901.849493631864,8311049171.636581
19878.304142206805,8191050915.738864
19853.41199932185,8073425445.597914
19827.201617045597,7958124860.102504
19799.701068853992,7845102242.627465
19770.93795724225,7734311640.386052
19740.939421217416,7625708044.226661
19709.732143673376,7519247368.864021
19677.342358650214,7414886433.535259
19643.795858479665,7312582943.071294
19609.11800081849,7212295469.374458
19573.33371557149,7113983433.293283
19536.467511705905,7017607086.885625
19498.543483958878,6923127496.0616455
19459.585319439684,6830506523.598121
19419.616304128325,6739706812.51599
19378.65932927215,6650691769.813034
19336.736897682076,6563425550.543961
19293.871129929965,6477873042.240133
19250.083770448746,6393999849.661557
19205.396193536748,6311772279.873765
19159.829409267768,6231157327.642513
19113.404069308366,6152122661.139249
19066.14047264379,6074636607.950604
19018.058571214,5998668141.385204
18969.17797546117,5924186867.071306
