Theta0_Value,Cost Function
3404.126595744681,64297776251.62011
6774.211925531915,63031018305.52132
10110.596402021276,61790694237.53249
13413.617033745744,60576236901.991035
16683.60745915297,59387091739.9886
19920.89798030612,58222716488.38939
23125.81559624774,57082580895.8954
26298.684036029943,55966166445.97885
29439.823791414325,54872966086.50778
32549.55214924486,53802483965.89506
35628.18322349709,52754235175.605446
38676.027987006804,51727745498.85994
41693.39430288142,50722551165.380974
44680.58695559728,49738198612.02588
47637.90768178599,48774244249.16026
50565.65520071281,47830254232.6268
53464.12524445036,46905804241.16897
56333.61058775054,46000479259.1725
59174.40107761772,45113873364.59137
61986.78366258622,44245589521.92844
64771.04242170504,43395239380.144295
67527.45859323267,42562443075.371216
70256.31060304503,41746829038.312386
72957.87409275926,40948033806.20948
75632.42194757635,40165701839.264984
78280.22432384526,39399485341.40871
80901.5486763515,38649044085.30025
83496.65978533265,37914045241.46274
86065.81978322401,37194163211.44539
88609.28818113645,36489079464.91514
91127.32189506976,35798482380.58049
93620.17527186374,35122067090.852936
96088.10011488979,34459535330.1538
98531.34570948557,33810595286.77683
100950.1588481354,33174961458.219242
103344.78385539872,32552354509.895863
105715.46261258941,31942501137.15358
108062.4345822082,31345133930.505226
110385.9368321308,30759991244.004223
112686.20405955418,30186817066.68309
114963.46861470332,29625360896.981297
117217.96052430097,29075377620.08948
119449.90751480265,28536627388.13903
121659.5350353993,28008875503.167988
123847.06628079,27491892302.795826
126012.72221372678,26985453048.541317
128156.72158733419,26489337816.71971
130279.28096720553,26003331391.85654
132380.61475327815,25527223162.557613
134460.93520149004,25060807019.775593
136520.45244521982,24603881257.415604
138559.3745165123,24156248475.223606
140577.90736709186,23717715483.902462
142576.25488916563,23288093212.402443
144554.61893601867,22867196617.33389
146513.19934240315,22454844594.451202
148452.1939447238,22050859892.158714
150371.79860102126,21655069026.990036
152272.20721075573,21267302201.013813
154153.61173439285,20887393221.120007
156016.2022127936,20515179420.141884
157860.16678641035,20150501579.77011
159685.69171429094,19793203855.216385
161492.9613928927,19443133701.585064
163282.15837470847,19100141801.912357
165053.46338670608,18764081996.83369
166807.0553485837,18434811215.840572
168543.11139084253,18112189410.089684
170261.80687267878,17796079486.727345
171963.31539969667,17486347244.693886
173647.80884144438,17182861311.97299
175315.45734877462,16885493084.25202
176966.42937103155,16594116664.9604
178600.89167306593,16308608806.653463
180219.00935207994,16028848853.710592
181820.94585430383,15754718686.316612
183406.86299150548,15486102665.696712
184976.9209573351,15222887580.575447
186531.27834350642,14964962594.831398
188070.09215581603,14712219196.319693
189593.51783000256,14464551146.83511
191101.7092474472,14221854433.189373
192594.81875071742,13984027219.376745
194072.9971589549,13750969799.802748
195536.39378311005,13522584553.551306
196985.15644102363,13298775899.666431
198419.4314723581,13079450253.424904
199839.36375337918,12864515983.577179
201245.09671159007,12653883370.534122
202636.77234021886,12447464565.477879
204014.53121256136,12245173550.375591
205378.51249618042,12046926098.875238
206728.8539669633,11852639738.063326
208065.69202303834,11662233711.064756
209389.16169855263,11475628940.46551
210699.3966773118,11292747992.539377
211996.52930628337,11113515042.260372
213280.6906089652,10937855839.082853
214552.01029862024,10765697673.471926
215810.6167913787,10596969344.166979
217056.6372192096,10431601126.161713
218290.19744276218,10269524739.384384
219511.42206407923,10110673318.062334
220720.43443918313,9954981380.755344
221917.35669053596,9802384801.042637
223102.30971937528,9652820778.848696
224275.4132179262,9506227812.39355
225436.7856814916,9362545670.753366
226586.54442042136,9221715367.017591
227724.80557196183,9083679132.02917
228851.6841119869,8948380388.69481
229967.2938666117,8815763726.85238
231071.74752369025,8685774878.682932
232165.15664419802,8558360694.655187
233247.63167350073,8433469119.990482
234319.2819525104,8311049171.636581
235380.21572873,8191050915.738864
236430.54016718737,8073425445.597914
237470.36136126018,7958124860.102504
238499.78434339227,7845102242.627465
239518.91309570303,7734311640.386052
240527.85056049068,7625708044.226661
241526.69865063045,7519247368.864021
242515.55825986882,7414886433.535259
243494.5292730148,7312582943.071294
244463.71057602935,7212295469.374458
245423.20006601373,7113983433.293283
246373.09466109826,7017607086.885625
247313.49031023195,6923127496.0616455
248244.4820028743,6830506523.598121
249166.16377859024,6739706812.51599
250078.62873654903,6650691769.813034
250981.9690449282,6563425550.543961
251876.27595022361,6477873042.240133
252761.63978646605,6393999849.661557
253638.14998434606,6311772279.873765
254505.89508024728,6231157327.642513
255364.96272518949,6152122661.139249
256215.43969368227,6074636607.950604
257057.41189249014,5998668141.385204
257890.96436930992,5924186867.071306
258716.1813213615,5851163009.8389
259533.14610389256,5779567400.880067
260341.94123859832,5709371465.181491
261142.648421957,5640547209.223231
261935.34853348212,5573067208.937901
262720.12164389197,5506904597.924616
263497.04702319775,5442033055.912168
264266.2031487105,5378426797.46598
265027.6677129681,5316060560.933568
265781.5176315831,5254909597.623319
266527.82905101194,5194949661.2115345
267266.6773562465,5136156997.3727865
267998.1371784287,5078508333.628749
268722.2824023891,5021980869.4107685
269439.18617410987,4966552266.331585
270148.9209081135,4912200638.661632
270851.558294777,4858904544.005542
271547.16930757393,4806642974.174524
272235.8242102429,4755395346.250382
272917.59256388515,4705141493.837055
273592.54323399096,4655861658.49564
274260.74439739576,4607536481.3589525
274922.2635491665,4560146994.921772
275577.1675094195,4513674615.002973
276225.52243007,4468101132.875878
276867.39380151394,4423408707.563237
277502.8464592435,4379579858.293242
278131.9445903957,4336597457.113228
278754.7517402365,4294444721.6575575
279371.3308185788,4253105208.066543
279981.74410613766,4212562804.0530233
280586.053260821,4172801722.1135597
281184.31932395743,4133806492.881114
281776.60272646253,4095561958.6161757
282362.9632949426,4058053266.8334436
282943.46025773784,4021265864.061104
283518.1522509051,3985185489.7299514
284087.0973241407,3949798170.189521
284650.352946644,3915090212.848611
285207.97601292224,3881048200.437472
285760.0228485377,3847658985.3891416
286306.54921579704,3814909684.3373685
286847.61031938373,3782787672.72865
287383.2608119346,3751280579.545979
287913.55479955993,3720376282.1419325
288438.545847309,3690062901.1787825
288958.28698458057,3660328795.6733556
289472.83071047947,3631162558.1444583
289982.22899911937,3602553009.8606653
290486.53330487286,3574489196.186376
290985.7945675688,3546960382.0240526
291480.0632176378,3519956047.350616
291969.3891812061,3493465882.846028
292453.82188513875,3467479785.6120834
292933.41026203206,3441987854.979558
293408.20275515644,3416980388.40181
293878.2473233496,3392447877.4330564
294343.59144586074,3368381003.789511
294804.28212714684,3344770635.4916563
295260.36590162007,3321607823.085977
295711.88883834856,3298883795.944415
296158.89654570975,3276589958.639999
296601.43417599733,3254717887.3969855
297039.54642998206,3233259326.613998
297473.2775614269,3212206185.4586062
297902.6713815573,3191550534.531865
298327.7712634864,3171284602.601332
298748.6201465962,3151400773.4011784
299165.26054087497,3131891582.497912
299577.7345312109,3112749714.2204375
299986.0837816435,3093967998.653024
300390.34953957173,3075539408.6899304
300790.5726399207,3057457057.1503615
301186.79350926616,3039714193.952536
301579.0521699182,3022304203.3455877
301967.3882439637,3005220601.198149
302351.8409572688,2988457032.342386
302732.44914344075,2972007267.9723783
303109.251247751,2955865203.095664
303482.28533101815,2940024854.0369077
303851.58907345263,2924480355.9925337
304217.19977846276,2909225960.6353436
304579.1543764228,2894256033.7680163
304937.48942840326,2879565053.0245194
305292.2411298639,2865147605.618414
305643.4453143099,2850998386.1370893
305991.1374569115,2837112194.3809876
306335.3526780871,2823483933.246866
306676.12574705086,2810108606.6541967
307013.491085325,2796981317.51381
307347.4827702165,2784097265.737912
307678.134538259,2771451746.29061
308005.4797886211,2759040147.2781234
308329.55158647953,2746857948.0778456
308650.3826663594,2734900717.505465
308968.0054354405,2723164112.0193577
309282.4519768308,2711643873.9614835
309593.75405280717,2700335829.834021
309901.9431080238,2689235888.6110344
310207.0502726882,2678340040.0844073
310509.106365706,2667644353.2433805
310808.1418977936,2657144974.686974
311104.1870745604,2646838127.0686264
311397.2717995595,2636720107.572394
311687.4256773086,2626787286.420038
311974.6780162802,2617036105.408408
312259.05783186207,2607463076.476443
312540.5938492881,2598064780.3012342
312819.3145065399,2588837864.92252
313095.2479572192,2579779044.3950343
313368.4220733917,2570885097.46816
313638.8644484024,2562152866.292284
313906.60239966307,2553579255.1513553
314171.66297141113,2545161229.2210693
314434.0729374417,2536895813.352177
314693.85880381195,2528780090.8783937
